Number,Start date,Start station number,Start station,End date,End station number,End station,Bike number,Bike model,Total duration,Total duration (ms)
132825340,08/01/2023 00:50,3496,"St Mary's Hospital, Paddington",08/01/2023 00:59,3423,"Maida Vale, Maida Vale",58139,CLASSIC,8m 33s,513519
132825341,08/01/2023 00:51,3464,"Green Street, Mayfair",08/01/2023 01:09,3495,"Wells Street, Fitzrovia",55494,CLASSIC,17m 57s,1077530
132825342,08/01/2023 00:51,300243,"Good's Way, King's Cross",08/01/2023 01:21,2660,"Frith Street, Soho",24172,CLASSIC,30m 25s,1825028
132825343,08/01/2023 00:51,300046,"Alma Road, Wandsworth",08/01/2023 00:57,300053,"Stephendale Road, Sands End",51973,CLASSIC,5m 57s,357808
132825344,08/01/2023 00:52,1026,"Roscoe Street, St. Luke's",08/01/2023 01:08,1062,"Braham Street, Aldgate",59819,CLASSIC,16m 41s,1001928
132825345,08/01/2023 00:52,3464,"Green Street, Mayfair",08/01/2023 01:09,3495,"Wells Street, Fitzrovia",41164,CLASSIC,16m 42s,1002452
132825347,08/01/2023 00:53,1213,"Curlew Street, Shad Thames",08/01/2023 01:46,1213,"Curlew Street, Shad Thames",21720,CLASSIC,53m 25s,3205697
132825346,08/01/2023 00:53,1213,"Curlew Street, Shad Thames",08/01/2023 01:46,1213,"Curlew Street, Shad Thames",30113,CLASSIC,53m 29s,3209390
132825348,08/01/2023 00:54,3464,"Green Street, Mayfair",08/01/2023 01:09,3495,"Wells Street, Fitzrovia",54894,CLASSIC,14m 42s,882457
132825349,08/01/2023 00:54,3464,"Green Street, Mayfair",08/01/2023 01:09,3495,"Wells Street, Fitzrovia",19663,CLASSIC,14m 44s,884193
132825350,08/01/2023 00:54,300045,"Albert Bridge Road, Battersea Park",08/01/2023 01:08,200113,"Smugglers Way, Wandsworth",58762,CLASSIC,13m 34s,814624
132825351,08/01/2023 00:54,1037,"Park Lane , Hyde Park",08/01/2023 01:09,3495,"Wells Street, Fitzrovia",52394,CLASSIC,14m 12s,852477
132825353,08/01/2023 00:55,300061,"Crimscott Street, Bermondsey",08/01/2023 01:05,22162,"Southwark Station 1, Southwark",20538,CLASSIC,10m 7s,607946
132825354,08/01/2023 00:55,300026,"All Saints' Road, Portobello",08/01/2023 01:05,200136,"BBC White City, White City",55584,CLASSIC,10m 22s,622421
132825355,08/01/2023 00:55,1037,"Park Lane , Hyde Park",08/01/2023 01:09,3495,"Wells Street, Fitzrovia",54544,CLASSIC,13m 45s,825788
132825352,08/01/2023 00:55,300026,"All Saints' Road, Portobello",08/01/2023 01:05,200136,"BBC White City, White City",58307,CLASSIC,10m 41s,641617
132825356,08/01/2023 00:56,981,"British Museum, Bloomsbury",08/01/2023 01:11,2701,"Columbia Road, Shoreditch",35105,CLASSIC,15m 26s,926873
132825357,08/01/2023 00:56,1037,"Park Lane , Hyde Park",08/01/2023 01:09,3495,"Wells Street, Fitzrovia",55315,CLASSIC,12m 32s,752292
132825358,08/01/2023 00:57,1037,"Park Lane , Hyde Park",08/01/2023 01:09,3495,"Wells Street, Fitzrovia",54613,CLASSIC,11m 46s,706561
132825359,08/01/2023 00:58,200101,"Monument Street, Monument",08/01/2023 01:17,300228,"Westferry Circus, Canary Wharf",59050,CLASSIC,19m 27s,1167938
132825360,08/01/2023 00:59,1037,"Park Lane , Hyde Park",08/01/2023 01:09,3495,"Wells Street, Fitzrovia",52054,CLASSIC,10m 4s,604841
132825361,08/01/2023 00:59,964,"Bath Street, St. Luke's",08/01/2023 01:03,3427,"Fanshaw Street, Hoxton",59265,CLASSIC,3m 38s,218044
